Date;Start;End;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Sep 6, 2022;1:00 PM;2:00 PM;4,177.5;1,281.5;4,169;8,650;27,376;110;3,940.25;13,044.75;7,915.5;1,655;49.75;1,233.75
Sep 6, 2022;2:00 PM;3:00 PM;4,169.75;1,411.25;3,953.25;9,086.75;24,826;110;3,937.75;13,024.25;8,014.5;1,633.5;122;1,234.25
Sep 6, 2022;3:00 PM;4:00 PM;4,206.75;1,425.5;3,870;8,781.75;20,922;110;3,934.5;13,001;8,664.75;1,767;322.25;1,216.5
Sep 6, 2022;4:00 PM;5:00 PM;4,296.5;1,450.5;3,699.75;8,195.75;16,331.75;110;3,934;12,686.5;9,074.5;2,591.25;717.25;1,231.5
Sep 6, 2022;5:00 PM;6:00 PM;4,462.5;1,558.75;3,590.25;8,347.25;10,325.75;110;3,936.75;12,569.5;9,460;4,073;1,977.75;1,234.25
Sep 6, 2022;6:00 PM;7:00 PM;4,590.5;1,603;3,958.75;8,212.5;4,397.25;110.25;3,934.25;12,585.5;9,677.75;4,543.75;3,664.5;1,240.5
Sep 6, 2022;7:00 PM;8:00 PM;4,645.5;1,607;4,107.5;8,567.5;607.75;111;3,936.25;12,721.75;9,849;4,752;6,105.75;1,234.25
Sep 6, 2022;8:00 PM;9:00 PM;4,623;1,525.25;4,129.25;9,976.25;0.75;112;3,937.75;12,666.5;10,023.25;4,828.75;4,801.5;1,249.75
Sep 6, 2022;9:00 PM;10:00 PM;4,551.25;1,533.5;4,051;10,756;0;112.75;3,938.25;12,680;10,046.25;4,675.5;1,365;1,241.75
Sep 6, 2022;10:00 PM;11:00 PM;4,426;1,419.25;3,875;11,037.75;0;113;3,946.75;12,717.75;9,928.75;4,036.25;510.5;1,239.5
Sep 6, 2022;11:00 PM;12:00 AM;4,263;1,342;3,340.75;11,711.5;0;113;3,953.75;12,677.75;9,440.5;2,197;132.25;1,225.75
Sep 7, 2022;12:00 AM;1:00 AM;4,162.25;1,356;3,337;11,815.5;0;113;3,953.25;12,368;9,336.5;2,081;66;1,214
Sep 7, 2022;1:00 AM;2:00 AM;4,145.5;1,324.25;2,997.75;10,430.5;0;113.25;3,955.5;12,413.75;8,877.75;1,893;25.25;1,214.5
Sep 7, 2022;2:00 AM;3:00 AM;4,133.5;1,313.75;2,449;9,437.75;0;113.25;3,956.25;12,407.75;8,810.5;1,931;8;1,210.75
Sep 7, 2022;3:00 AM;4:00 AM;4,108.75;1,338;1,888.25;9,328.75;0;113;3,968;12,346;8,865.5;1,951;0.5;1,211.25
Sep 7, 2022;4:00 AM;5:00 AM;4,134.5;1,392.5;1,590.25;8,384.25;0;113.25;3,979.5;12,417.5;8,965.5;2,147.25;97;1,231.75
